TYPENAME,,PartNonMesh,,Module,,,,,,,,,,,,,,,,
,,Definition,,,,,,,,,,,,,,,,,,
,,PropertyType,,PropertyName,,PropertyScope.Value,,,,,,,,,,,,,,
PROPERTY,,DisplayText,,Name,,Module.Name,,,,,,,,,,,,,,
,,Presets,,,,,,,,,,,,,,,,,,
TAGPATHS,DataType=GUID,GUID,DataType=ID,ID,DataType=MyCategoryPath,TG_MyNode+CategoryPath,DataType=Properties,Module.Name,DataType=Dimensions,Dimension,Value,DataType=Profile,Module.Profile,DataType=Material,AppliesToChannel,InnerMaterial,SurfaceMaterial,ColorTintVariation,ColorTint,
,,,,,,,,,,IconHeight,48in,,,,,,,,,
,,,,Assembly_2FlexDims1Fixed_PlanarPattern-Thickness-0.5in-Finish1-0RawMaterial-Concrete (Fine Aggregate)-AC998D,,Assembly_2FlexDims1Fixed_PlanarPattern,,"1/2in, Concrete (Fine Aggregate), Maple",,Thickness,0.5in,,,,Finish1,0RawMaterial-Concrete (Fine Aggregate),,0,AC998D,
,,,,,,,,,,IconLength,64in,,,,,,,,,
,,,,,,,,,,IconHeight,48in,,,,,,,,,
,,,,Assembly_2FlexDims1Fixed_PlanarPattern-Thickness-0.75in-Finish1-0RawMaterial-Concrete (Fine Aggregate)-ABA283,,Assembly_2FlexDims1Fixed_PlanarPattern,,"3/4in, Concrete (Fine Aggregate), Olive",,Thickness,0.75in,,,,Finish1,0RawMaterial-Concrete (Fine Aggregate),,0,ABA283,
,,,,,,,,,,IconLength,64in,,,,,,,,,
,,,,,,,,,,IconHeight,48in,,,,,,,,,
,,,,Assembly_2FlexDims1Fixed_PlanarPattern-Thickness-0.25in-Finish1-0RawMaterial-Mortar-C6C6C6,,Assembly_2FlexDims1Fixed_PlanarPattern,,"1/4in, Mortar",,Thickness,0.25in,,,,Finish1,0RawMaterial-Mortar,,0,C6C6C6,
,,,,,,,,,,IconLength,64in,,,,,,,,,
,,,,,,,,,,IconHeight,48in,,,,,,,,,
,,,,Assembly_2FlexDims1Fixed_PlanarPattern-Thickness-0.09375in-Finish1-0RawMaterial-Glass-F2F2F2,,Assembly_2FlexDims1Fixed_PlanarPattern,,"3/32in, Glass",,Thickness,0.09375in,,,,Finish1,0RawMaterial-Glass,,0,F2F2F2,
,,,,,,,,,,IconLength,64in,,,,,,,,,
,,,,,,,,,,IconHeight,48in,,,,,,,,,
,,,,Assembly_2FlexDims1Fixed_PlanarPattern-Thickness-0.125in-Finish1-0RawMaterial-Glass-F2F2F2,,Assembly_2FlexDims1Fixed_PlanarPattern,,"1/8in, Glass",,Thickness,0.125in,,,,Finish1,0RawMaterial-Glass,,0,F2F2F2,
,,,,,,,,,,IconLength,64in,,,,,,,,,
,,,,,,,,,,IconHeight,48in,,,,,,,,,
,,,,Assembly_2FlexDims1Fixed_PlanarPattern-Thickness-0.125in-Finish1-0RawMaterial-Glass-D6DAD8,,Assembly_2FlexDims1Fixed_PlanarPattern,,"1/8in, Glass, Slate",,Thickness,0.125in,,,,Finish1,0RawMaterial-Glass,,0,D6DAD8,
,,,,,,,,,,IconLength,64in,,,,,,,,,
